Name	Location	Rank	Tuition and fees	Undergrad Enrollment
Missouri University of Science & Technology	Rolla, MO	164.0	26152.0	6841.0
St. John's University	Queens, NY	164.0	39460.0	16210.0
Virginia Commonwealth University	Richmond, VA	164.0	31608.0	24051.0
Union University	Jackson, TN	169.0	30420.0	2829.0
University of Hawaii--Manoa	Honolulu, HI	169.0	33764.0	13689.0
Edgewood College	Madison, WI	171.0	27530.0	1813.0
Florida Institute of Technology	Melbourne, FL	171.0	40446.0	3586.0
University of Idaho	Moscow, ID	171.0	22040.0	9116.0
University of Louisville	Louisville, KY	171.0	24626.0	15769.0
University of Wyoming	Laramie, WY	171.0	16215.0	10045.0
Ball State University	Muncie, IN	176.0	25428.0	16602.0
Lipscomb University	Nashville, TN	176.0	29756.0	3030.0
Mississippi State University	Mississippi State, MS	176.0	20142.0	17421.0
Montclair State University	Montclair, NJ	176.0	20318.0	16336.0
Texas Tech University	Lubbock, TX	176.0	22861.0	29237.0
University of Central Florida	Orlando, FL	176.0	22467.0	54513.0
University of New Mexico	Albuquerque, NM	176.0	21302.0	20522.0
Andrews University	Berrien Springs, MI	183.0	27684.0	1733.0
Azusa Pacific University	Azusa, CA	183.0	36120.0	5883.0
University of Maine	Orono, ME	183.0	29498.0	9297.0
West Virginia University	Morgantown, WV	183.0	21432.0	22498.0
Widener University	Chester, PA	183.0	42870.0	3554.0
Kent State University	Kent, OH	188.0	18376.0	23607.0
North Dakota State University	Fargo, ND	188.0	19790.0	12037.0
Pace University	New York, NY	188.0	42772.0	8747.0
Robert Morris University	Moon Township, PA	188.0	28250.0	4497.0
Suffolk University	Boston, MA	188.0	35578.0	5565.0
University of Hartford	West Hartford, CT	188.0	37790.0	5246.0
Bowling Green State University	Bowling Green, OH	194.0	18332.0	14334.0
University of Houston	Houston, TX	194.0	25410.0	34716.0
Western Michigan University	Kalamazoo, MI	194.0	25713.0	18567.0
Indiana University-Purdue University--Indianapolis	Indianapolis, IN	197.0	29791.0	21985.0
Lesley University	Cambridge, MA	197.0	25750.0	1520.0
University of Alabama--Huntsville	Huntsville, AL	197.0	20622.0	6013.0
University of Colorado--Denver	Denver, CO	197.0	29334.0	14036.0
University of Nevada--Reno	Reno, NV	197.0	21052.0	17770.0
California State University--Fullerton	Fullerton, CA	202.0	17596.0	33144.0
Central Michigan University	Mount Pleasant, MI	202.0	23670.0	20498.0
Louisiana Tech University	Ruston, LA	202.0	25851.0	10682.0
South Dakota State University	Brookings, SD	202.0	11403.0	11007.0
