Timestamp,Preferred_alcoholic_drink,num_of_parties_per_year,smoke_cigarettes,smoke_weed,introvert_extrovert,believe_love_at_first_sight,learning_style,left_right_brained,Myer_Briggs_personality,preferred_social_media_platform,instagram_followers,preferred_streaming_platform,preferred_age_to_marry,expected_starting_salary,fav_sport,exercise_minutes_per_week,hours_sleep_per_night
2023/09/21 3:19:44 pm GMT-5,Wine,1,No,No,Extrovert,Yes,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram,1000,Netflix,30,90000,Hiking,200,7
2023/09/21 3:37:19 pm GMT-5,I dont drink,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Discord,80,none,30,45000,NA,0,7
2023/09/21 5:23:25 pm GMT-5,Beer,55,Occasionally,Yes,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram,1450,Netflix,28,90000,Other,200,7
2023/09/21 8:32:57 pm GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,TikTok,800,HBO Max,30,60000,Tennis,120,7
2023/09/21 9:27:03 pm GMT-5,Hard liquor/Mixed drink,3,No,No,Extrovert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Instagram,2334,Netflix,27,44000,Running,300,7
2023/09/21 10:16:18 pm GMT-5,I dont drink,2,No,No,Extrovert,Yes,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ENFP,Instagram,1350,Netflix,25,1000000,Soccer,300,8
2023/09/22 11:04:26 am GMT-5,Hard liquor/Mixed drink,6,No,Occasionally,Extrovert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,TikTok,2400,HBO Max,30,65000,Basketball,300,8
2023/09/22 12:03:51 pm GMT-5,Hard liquor/Mixed drink,30,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,TikTok,1469,Hulu,34,40000,Climbing,60,6
2023/09/22 2:19:53 pm GMT-5,I dont drink,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Instagram,640,Netflix,30,60000,NA,0,6
2023/09/22 3:03:40 pm GMT-5,I dont drink,0,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Instagram,220,Youtube,45,100000,Gymnastics,15,6
2023/09/22 3:56:04 pm GMT-5,Hard liquor/Mixed drink,0,No,No,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTP,TikTok,1500,Sketchy websites,30,80000,Boat sports (Sailing / Kayaking / Rafting / Rowing),5,8
2023/09/22 4:32:11 pm GMT-5,Wine,6,No,Yes,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTP,Instagram,1600,HBO Max,29,90000,Singing,120,8
2023/09/23 3:07:54 am GMT-5,I dont drink,0,No,No,Introvert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INFP,Instagram,980,Netflix,34,45000,NA,60,7
2023/09/23 4:40:00 pm GMT-5,Beer,0,No,Yes,Extrovert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,TikTok,846,Netflix,28,86000,Climbing,2400,7
2023/09/24 11:54:08 am GMT-5,I dont drink,1,No,No,Extrovert,Yes,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Instagram,900,Netflix,27,100000,Soccer,60,8
2023/09/24 6:20:19 pm GMT-5,Wine,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,900,Netflix,28,"100,000+",Other,280,7
2023/09/24 8:07:12 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ESFP,Instagram,"2,500",Netflix,27,"50,000",Volleyball,300,7
2023/09/24 8:27:25 pm GMT-5,I dont drink,0,No,Occasionally,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISFP,Instagram,311,Netflix,33,0,Climbing,300,8
2023/09/24 10:58:35 pm GMT-5,I dont drink,0,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,600,Netflix,40,75000,NA,90,8
2023/09/25 10:44:52 am GMT-5,Beer,3,No,Occasionally,Extrovert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Facebook,0,Netflix,28,60000,Golf,50,7
2023/09/25 12:08:20 pm GMT-5,Beer,5,No,Yes,Extrovert,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Twitter,1400,Netflix,27,"120,000",Dancing,9,7
2023/09/25 2:36:32 pm GMT-5,Hard liquor/Mixed drink,6,No,Occasionally,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,TikTok,2000,Netflix,28,70000,Other,100,7
2023/09/25 6:29:47 pm GMT-5,Hard liquor/Mixed drink,10,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",INTJ,TikTok,1200,Netflix,35,"35,000",Soccer,5,7
2023/09/25 6:47:18 pm GMT-5,Beer,1,No,Occasionally,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,450,Hulu,28,90000,Basketball,120,8
2023/09/27 11:24:55 am GMT-5,Hard liquor/Mixed drink,4,No,No,Introvert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,TikTok,1100,Netflix,27,100000,Golf,180,7
