,Title,US Gross,Worldwide Gross,Production Budget,Release Date,MPAA Rating,Source,Major Genre,Creative Type,IMDB Rating,IMDB Votes,ratio_wgross_by_budget,Release Year
284,Legends of the Fall,66502573,66502573,30000000,1994-12-23,R,Adapted screenplay,Drama,Fiction,7.1,39815,2.2167524333333333,1994
285,102 Dalmatians,66941559,66941559,85000000,2000-11-22,G,Adapted screenplay,Comedy,Fiction,4.4,7147,0.7875477529411765,2000
286,The Men Who Stare at Goats,32428195,67348218,24000000,2009-11-06,R,Adapted screenplay,Comedy,Fiction,6.4,33763,2.80617575,2009
287,Other Range,58328680,68293719,26000000,2003-08-15,R,Adapted screenplay,Western/Musical,Fiction,7.5,26438,2.6266815,2003
288,Practical Magic,46850558,68336997,60000000,1998-10-16,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.5,20196,1.13894995,1998
289,Babe: Pig in the City,18319860,69131860,80000000,1998-11-25,G,Adapted screenplay,Action/Adventure,Fiction,6.1,9918,0.86414825,1998
290,Children of Men,35552383,69450202,76000000,2006-12-25,R,Adapted screenplay,Horror/Thriller,Fiction,8.1,158125,0.9138184473684211,2006
291,Curious George,58640119,70114174,50000000,2006-02-10,G,Adapted screenplay,Comedy,Fiction,6.7,5393,1.40228348,2006
292,Babylon A.D.,22532572,70216497,45000000,2008-08-29,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.3,27189,1.5603666,2008
293,What Dreams May Come,55485043,71485043,80000000,1998-10-02,PG/PG-13,Adapted screenplay,Drama,Fiction,6.6,30486,0.8935630375,1998
294,Rules of Engagement,61322858,71719931,60000000,2000-04-07,R,Adapted screenplay,Horror/Thriller,Fiction,6.2,18462,1.1953321833333332,2000
295,Holes,67383924,72383924,20000000,2003-04-18,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,19388,3.6191962,2003
296,Jackie Brown,39673162,72673162,12000000,1997-12-25,R,Adapted screenplay,Drama,Fiction,7.6,84068,6.056096833333333,1997
297,The Other Boleyn Girl,26814957,72944278,40000000,2008-02-29,PG/PG-13,Adapted screenplay,Drama,Fiction,6.7,26198,1.82360695,2008
298,The Kite Runner,15800078,73222245,20000000,2007-12-14,PG/PG-13,Adapted screenplay,Drama,Fiction,7.8,26816,3.66111225,2007
299,The Horse Whisperer,75383563,75383563,60000000,1998-05-15,PG/PG-13,Adapted screenplay,Drama,Fiction,6.3,15831,1.2563927166666666,1998
300,Dreamcatcher,33685268,75685268,68000000,2003-03-21,R,Adapted screenplay,Drama,Fiction,5.3,34141,1.1130186470588235,2003
301,Cruel Intentions,38230075,75803716,11000000,1999-03-05,R,Adapted screenplay,Drama,Fiction,6.7,66861,6.891246909090909,1999
302,The Last Song,62950384,75850384,20000000,2010-03-31,PG/PG-13,Adapted screenplay,Drama,Fiction,3.9,7210,3.7925192,2010
303,Revolutionary Road,22911480,76989671,35000000,2008-12-26,R,Adapted screenplay,Drama,Fiction,7.6,45887,2.1997048857142856,2008
304,The Sentinel,36280697,77280697,60000000,2006-04-21,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.1,23567,1.2880116166666666,2006
305,Hostage,34636443,77636443,75000000,2005-03-11,R,Adapted screenplay,Action/Adventure,Fiction,7.3,3070,1.0351525733333333,2005
306,Apocalypse Now,78800000,78800000,31500000,1979-08-15,R,Adapted screenplay,Action/Adventure,Fiction,8.6,173141,2.5015873015873016,1979
307,Exit Wounds,51758599,79958599,33000000,2001-03-16,R,Adapted screenplay,Action/Adventure,Fiction,5.2,14528,2.4229878484848486,2001
308,Hannibal Rising,27669725,80583311,50000000,2007-02-09,R,Adapted screenplay,Horror/Thriller,Fiction,6.0,28690,1.61166622,2007
309,The Constant Gardener,33579798,81079798,25500000,2005-08-31,R,Adapted screenplay,Drama,Fiction,7.6,50763,3.1795999215686273,2005
310,The Talented Mr. Ripley,81292135,81292135,40000000,1999-12-25,R,Adapted screenplay,Drama,Fiction,7.2,63319,2.032303375,1999
311,Blow,52990775,83282296,30000000,2001-04-06,R,Adapted screenplay,Drama,Non-Fiction,7.4,70218,2.7760765333333333,2001
312,The Illusionist,39868642,84276175,16500000,2006-08-18,PG/PG-13,Adapted screenplay,Drama,Fiction,7.7,92040,5.10764696969697,2006
313,"Boot, Das",11487676,84970337,12000000,1982-02-10,R,Adapted screenplay,Drama,Fiction,4.3,2184,7.080861416666667,1982
314,Eyes Wide Shut,55691208,86257553,65000000,1999-07-16,R,Adapted screenplay,Drama,Fiction,7.2,93880,1.327039276923077,1999
315,Peter Pan,87400000,87400000,4000000,1953-02-05,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.1,16894,21.85,1953
316,Bicentennial Man,58220776,87420776,90000000,1999-12-17,PG/PG-13,Adapted screenplay,Drama,Fiction,6.4,28827,0.9713419555555556,1999
317,The Tale of Despereaux,50877145,88717945,60000000,2008-12-19,G,Adapted screenplay,Action/Adventure,Fiction,6.1,7460,1.4786324166666667,2008
318,My Sister's Keeper,49200230,89053995,27500000,2009-06-26,PG/PG-13,Adapted screenplay,Drama,Fiction,7.4,13839,3.238327090909091,2009
319,Paycheck,53789313,89350576,60000000,2003-12-25,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.1,35660,1.4891762666666666,2003
320,Nanny McPhee and the Big Bang,27776620,90676620,35000000,2010-08-20,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.1,2326,2.5907605714285715,2010
321,Treasure Planet,38120554,91800000,100000000,2002-11-27,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.6,12099,0.918,2002
322,Secret Window,47958031,92958031,40000000,2004-03-12,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,6.5,53868,2.323950775,2004
323,Nim's Island,48006762,94081683,37000000,2008-04-04,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,6.0,10391,2.542748189189189,2008
324,The Lovely Bones,44028238,94702568,65000000,2009-12-11,PG/PG-13,Adapted screenplay,Drama,Fiction,6.6,32049,1.4569625846153846,2009
325,Be Cool,55849401,94849401,75000000,2005-03-04,PG/PG-13,Adapted screenplay,Comedy,Fiction,5.6,32082,1.26465868,2005
326,Syriana,50824620,95024620,50000000,2005-11-23,R,Adapted screenplay,Horror/Thriller,Fiction,7.1,53265,1.9004924,2005
327,Shooter,47003582,95203582,60000000,2007-03-23,R,Adapted screenplay,Horror/Thriller,Fiction,7.2,149,1.5867263666666667,2007
328,Peter Pan,48417850,95255485,100000000,2003-12-25,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.1,16894,0.95255485,2003
329,Christmas with the Kranks,73701902,96501902,50000000,2004-11-24,PG/PG-13,Adapted screenplay,Comedy,Fiction,4.7,9126,1.93003804,2004
330,Jarhead,62647540,96947540,72000000,2005-11-04,R,Adapted screenplay,Drama,Non-Fiction,7.2,60650,1.3464936111111112,2005
331,The Time Traveler's Wife,63414846,98666635,39000000,2009-08-14,PG/PG-13,Adapted screenplay,Drama,Fiction,7.1,23908,2.529913717948718,2009
332,The Time Machine,56684819,98983590,80000000,2002-03-08,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,5.6,32465,1.237294875,2002
333,Where the Wild Things Are,77233467,99123656,100000000,2009-10-16,PG/PG-13,Adapted screenplay,Action/Adventure,Fiction,7.2,30669,0.99123656,2009
334,Just Like Heaven,48318130,100687083,58000000,2005-09-16,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.8,29457,1.7359841896551724,2005
335,Fight Club,37030102,100853753,65000000,1999-10-15,R,Adapted screenplay,Drama,Fiction,8.8,382470,1.5515962,1999
336,The Notebook,81001787,102276787,30000000,2004-06-25,PG/PG-13,Adapted screenplay,Drama,Fiction,8.0,95850,3.4092262333333334,2004
337,The Hitchhiker's Guide to the Galaxy,51019112,104019112,45000000,2005-04-29,PG/PG-13,Adapted screenplay,Comedy,Fiction,6.6,61513,2.3115358222222224,2005
338,Don't Say a Word,54997476,104488383,50000000,2001-09-28,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,22157,2.08976766,2001
339,Along Came a Spider,74058698,105159085,28000000,2001-04-06,R,Adapted screenplay,Horror/Thriller,Fiction,6.1,22994,3.755681607142857,2001
340,About Schmidt,65005217,105823486,30000000,2002-12-13,R,Adapted screenplay,Drama,Fiction,7.3,53760,3.5274495333333333,2002
341,The Reader,34192652,106107610,33000000,2008-12-10,R,Adapted screenplay,Drama,Fiction,7.7,46984,3.215382121212121,2008
342,The Prestige,53089891,107896006,40000000,2006-10-20,PG/PG-13,Adapted screenplay,Horror/Thriller,Fiction,8.4,207322,2.69740015,2006
343,Body of Lies,39394666,108394666,67500000,2008-10-10,R,Adapted screenplay,Horror/Thriller,Fiction,7.2,53921,1.6058469037037038,2008
344,The Hours,41675994,108775994,25000000,2002-12-27,PG/PG-13,Adapted screenplay,Drama,Fiction,7.6,44618,4.35103976,2002
